name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
NSKMC Makhamalabad,PHC,Primary Health Centre,"Welunje, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.01999999990597,73.45999999933636,1549,183868
Devgaon,PHC,Primary Health Centre,"Deogaon, NIPHAD",Nashik,MAHARASHTRA,20.02508299980457,74.26121500009154,1550,183453
Patoda,PHC,Primary Health Centre,"Chichodi Bk., YEVLA",Nashik,MAHARASHTRA,20.02589999937862,74.42970000003491,1551,183890
NSKMC Mhasrul,PHC,Primary Health Centre,"Welunje, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.03000000027208,73.48000000009215,1552,183868
Deogaon,PHC,Primary Health Centre,"Deogaon, NIPHAD",Nashik,MAHARASHTRA,20.033450000218572,74.27469999979199,1553,183453
Naitale,PHC,Primary Health Centre,"Kurudgaon, NIPHAD",Nashik,MAHARASHTRA,20.03660000057893,74.09954999990374,1555,183479
Mhalsakore,PHC,Primary Health Centre,"Gondegaon, NIPHAD",Nashik,MAHARASHTRA,20.042880000190312,74.03223000008524,1556,183455
Chandori,PHC,Primary Health Centre,"Narayangaon, NIPHAD",Nashik,MAHARASHTRA,20.052300000482372,73.9816999998138,1558,183471
Kasabe Sukene,PHC,Primary Health Centre,"Kasabe Sukene, NIPHAD",Nashik,MAHARASHTRA,20.078407000571236,74.01385399975122,1560,183465
Chinch Ohol,PHC,Primary Health Centre,"Shirasgaon, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.090119999854764,73.40229000035754,1563,183851
Ozar,PHC,Primary Health Centre,"Janori, DINDORI",Nashik,MAHARASHTRA,20.096390000404078,73.88308999969813,1565,182898
Mohadi,PHC,Primary Health Centre,"Janori, DINDORI",Nashik,MAHARASHTRA,20.09639999985733,73.88400000026749,1566,182898
Savargaon,PHC,Primary Health Centre,"Savargaon, YEVLA",Nashik,MAHARASHTRA,20.10297099998322,74.45842399955391,1567,183948
Thanapada,PHC,Primary Health Centre,"Thanapada, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.12022100013977,73.40034000042085,1570,183859
Nimgaon Wakada,PHC,Primary Health Centre,"Nimgaon Wakada, NIPHAD",Nashik,MAHARASHTRA,20.134300000459145,74.25215799944579,1573,183496
Chikhalohol,PHC,Primary Health Centre,"Rapali, CHANDVAD",Nashik,MAHARASHTRA,20.236920000750317,74.39742999974652,1586,182814
Vare,PHC,Primary Health Centre,"Kadawa Mhalungi, DINDORI",Nashik,MAHARASHTRA,20.244279999984496,73.81657999999155,1588,182904
Nigdol,PHC,Primary Health Centre,"Kadawa Mhalungi, DINDORI",Nashik,MAHARASHTRA,20.244300000164746,73.81660000008301,1589,182904
Khedgaon,PHC,Primary Health Centre,"Tisgaon, DINDORI",Nashik,MAHARASHTRA,20.263210000797933,73.95471000032147,1592,182964
Varkheda,PHC,Primary Health Centre,"Tisgaon, DINDORI",Nashik,MAHARASHTRA,20.26321999966933,73.95471999946889,1593,182964
Vadner Bhairao,PHC,Primary Health Centre,"Vadner Bhairao, CHANDVAD",Nashik,MAHARASHTRA,20.2820600002368,74.03215999976504,1597,182810
Bolthan,PHC,Primary Health Centre,"Mandwad, NANDGAON",Nashik,MAHARASHTRA,20.28524999933289,74.5880000001016,1598,183330
Hiswal,PHC,Primary Health Centre,"Mandwad, NANDGAON",Nashik,MAHARASHTRA,20.285260000153947,74.58800999924902,1599,183330
Vehelgaon,PHC,Primary Health Centre,"Mandwad, NANDGAON",Nashik,MAHARASHTRA,20.28528000010899,74.58802999934053,1600,183330
Vadalibhoi,PHC,Primary Health Centre,"Vadalibhoi, CHANDVAD",Nashik,MAHARASHTRA,20.29474000043188,74.12318999934362,1602,182807
Talegaon Rohi,PHC,Primary Health Centre,"Dahegaon Manmad, CHANDVAD",Nashik,MAHARASHTRA,20.297760000415998,74.4397599993398,1604,182739
Uswad,PHC,Primary Health Centre,"Dahegaon Manmad, CHANDVAD",Nashik,MAHARASHTRA,20.297789999612746,74.43979000037533,1605,182739
Bhuwan,PHC,Primary Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.30023000020669,73.49053999979604,1606,183556
Kohor,PHC,Primary Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.30023000020669,73.49053999979604,1607,183556
Jogmodi,PHC,Primary Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.300260000610127,73.49056999993329,1608,183556
Karanjali,PHC,Primary Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.300260000610127,73.49056999993329,1609,183556
