name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Mangul Zanak,PHC,Primary Health Centre,"Pen Bori, RISOD",Washim,MAHARASHTRA,20.09204699941161,76.81503300064223,3811,193606
Shivani Pisa,PHC,Primary Health Centre,"Shivni Pisa, LONAR",Buldhana,MAHARASHTRA,20.094666999785037,76.45364300044267,3812,172893
Kedarkheda,PHC,Primary Health Centre,"Chandai thombri, BHOKARDAN",Jalna,MAHARASHTRA,20.0962389995556,75.81630700030092,3813,177648
Runza,PHC,Primary Health Centre,"Manoli, GHATANJI",Yavatmal,MAHARASHTRA,20.101770000378675,78.29581000047705,3814,194017
Maroda,PHC,Primary Health Centre,"Somnath Prakalp, MUL",Chandrapur,MAHARASHTRA,20.103387799593957,79.6558242003367,3815,173809
Poharadevi,PHC,Primary Health Centre,"Poharadevi, MANORA",Washim,MAHARASHTRA,20.11059999968594,77.626900000356,3816,193517
Vyahad,PHC,Primary Health Centre,"Vyahad Kh., SAWALI",Chandrapur,MAHARASHTRA,20.113159100381328,79.86118319935022,3817,174034
Karwafa,PHC,Primary Health Centre,"Karwafa, DHANORA",Gadchiroli,MAHARASHTRA,20.11824299993183,80.17624900004753,3818,174934
Bazarsawangi,PHC,Primary Health Centre,"Bazar Sawangi, KHULDABAD",Aurangabad,MAHARASHTRA,20.11963333021663,75.30986111020343,3819,170582
Majari,PHC,Primary Health Centre,"Majari, BHADRAVATI",Chandrapur,MAHARASHTRA,20.125754900005578,79.03201600012711,3820,173411
Dongaon,PHC,Primary Health Centre,"Nimkheda Kh., JAFFERABAD",Jalna,MAHARASHTRA,20.126705000120168,75.9938480001668,3821,177904
Somnala,PHC,Primary Health Centre,"Bonthala, BHADRAVATI",Chandrapur,MAHARASHTRA,20.130714000040808,79.09824100032668,3822,173401
Kadholi,PHC,Primary Health Centre,"Bonthala, BHADRAVATI",Chandrapur,MAHARASHTRA,20.132045499856495,79.0856885004002,3823,173401
Wadadha,PHC,Primary Health Centre,"Makepayli, DHANORA",Gadchiroli,MAHARASHTRA,20.133110000103013,80.23384000009894,3824,174961
Mahsola,PHC,Primary Health Centre,"Mhasola, ARNI",Yavatmal,MAHARASHTRA,20.138147999367476,78.06060799934119,3826,193750
wadodbazar,PHC,Primary Health Centre,"Wadod Bajar, SILLOD",Aurangabad,MAHARASHTRA,20.152272220161983,75.52063055976524,3827,170784
Shendurjana,PHC,Primary Health Centre,"Shendurjana (A), MANORA",Washim,MAHARASHTRA,20.155230999741896,77.44812000003282,3828,193526
Akola Bazar,PHC,Primary Health Centre,"Akola Bajar, YAVATMAL",Yavatmal,MAHARASHTRA,20.162642999304794,78.15124500035604,3829,194758
Kond,PHC,Primary Health Centre,"Kond, OSMANABAD",Osmanabad,MAHARASHTRA,18.304728699166525,76.28556340030553,39,184293
Kurla,PHC,Primary Health Centre,"Kurla, KANDHAR",Nanded,MAHARASHTRA,18.756848999900498,77.12920099989181,385,181337
Mhasala,PHC,Primary Health Centre,"Sate, MAWAL",Pune,MAHARASHTRA,18.758829999900087,73.62623999979024,386,186267
